"id","name","code","duration","type","theoriticalHour","practicalHour","selfstudyHour","prerequisiteCode"
"1","Những nguyên lý cơ bản của chủ nghĩa Mác - Lênin 1","PHI1004","2","Khối kiến thức chung","24","6",NULL,NULL
"2","Những nguyên lý cơ bản của chủ nghĩa Mác - Lênin 2","PHI1005","3","Khối kiến thức chung","36","9",NULL,"PHI1004"
"3","Tư tưởng Hồ Chí Minh","POL1001","2","Khối kiến thức chung","20","10",NULL,"PHI1005"
"4","Đường lối cách mạng của Đảng cộng sản Việt Nam","HIS1002","3","Khối kiến thức chung","42","3",NULL,"POL1001"
"5","Tin học cơ sở 1","INT1003","2","Khối kiến thức chung","10","20",NULL,NULL
"6","Tin học cơ sở 4","INT1006","3","Khối kiến thức chung","20","23","2","INT1003"
"7","Tiếng Anh cơ sở 1","FLF2101","4","Khối kiến thức chung","16","40","4",
"8","Tiếng Anh cơ sở 2","FLF2102","5","Khối kiến thức chung","20","50","5","FLF2101"
"9","Tiếng Anh cơ sở 3","FLF2103","5","Khối kiến thức chung","20","50","5","FLF2102"
"10","Giáo dục thể chất",NULL,"4","Khối kiến thức chung",NULL,NULL,NULL,NULL
"11","Giáo dục quốc phòng - an ninh",NULL,"8","Khối kiến thức chung",NULL,NULL,NULL,NULL
"12","Kỹ năng bổ trợ",NULL,"3","Khối kiến thức chung",NULL,NULL,NULL,NULL
"13","Đại số","MAT1093","4","Khối kiến thức theo lĩnh vực","30","30",,NULL
"14","Giải tích 1","MAT1041","4","Khối kiến thức theo lĩnh vực","30","30",NULL,NULL
"15","Giải tích 2","MAT1402","4","Khối kiến thức theo lĩnh vực","30","30",NULL,"MAT1041"
"16","Cơ - Nhiệt","PHY1100","3","Khối kiến thức theo lĩnh vực","32","10","3",NULL
"17","Điện và Quang","PHY1103","3","Khối kiến thức theo lĩnh vực","32","10","3","PHY1100"
"18","Tín hiệu và hệ thống","ELT2035","3","Khối kiến thức theo khối ngành","42","3",NULL,"MAT1042"
"19","Cấu trúc dữ liệu và giải thuật","INT2203","3","Khối kiến thức theo khối ngành","30","15",NULL,"INT1006"
"20","Xác suất thống kê","MAT1101","3","Khối kiến thức theo khối ngành","30","15",NULL,"MAT1041"
"21","Toán học rời rạc","INT1050","4","Khối kiến thức theo nhóm ngành","45","15",NULL,NULL
"22","Lập trình hướng đối tượng","INT2204","3","Khối kiến thức theo nhóm ngành","30","15",NULL,"INT1106"
"23","Kiến trúc máy tính","INT2205","3","Khối kiến thức theo nhóm ngành","45",,NULL,"INT1003"
"24","Nguyên lý hệ điều hành","INT2206","3","Khối kiến thức theo nhóm ngành","45",,NULL,"INT1006"
"25","Mạng máy tính","INT2209","3","Khối kiến thức theo nhóm ngành","30","15",NULL,"INT1006"
"26","Cơ sở dữ liệu","INT2207","3","Khối kiến thức theo nhóm ngành","30","15",NULL,"INT1006"
"27","Công nghệ phần mềm","INT2208","3","Khối kiến thức theo nhóm ngành","45",NULL,NULL,"INT1006"
"28","Lập trình nâng cao","INT2202","3","Khối kiến thức ngành","30","15",NULL,"INT1006"
"29","Hệ quản trị cơ sở dữ liệu","INT3202","3","Khối kiến thức ngành","30","15",NULL,"INT2207"
